uf,name,code,dbpedia,dbpedia_pt,wikidata
AC,Acrelândia,1200013,http://dbpedia.org/resource/Acrelândia,http://pt.dbpedia.org/resource/Acrelândia,http://www.wikidata.org/entity/Q953086
AC,Assis Brasil,1200054,http://dbpedia.org/resource/Assis_Brasil,http://pt.dbpedia.org/resource/Assis_Brasil,http://www.wikidata.org/entity/Q1754403
AC,Brasiléia,1200104,http://dbpedia.org/resource/Brasiléia,http://pt.dbpedia.org/resource/Brasiléia,http://www.wikidata.org/entity/Q899406
AC,Bujari,1200138,http://dbpedia.org/resource/Bujari,http://pt.dbpedia.org/resource/Bujari,http://www.wikidata.org/entity/Q1754408
AC,Capixaba,1200179,"http://dbpedia.org/resource/Capixaba,_Acre",http://pt.dbpedia.org/resource/Capixaba_(Acre),http://www.wikidata.org/entity/Q1800737
AC,Cruzeiro do Sul,1200203,"http://dbpedia.org/resource/Cruzeiro_do_Sul,_Acre",http://pt.dbpedia.org/resource/Cruzeiro_do_Sul_(Acre),http://www.wikidata.org/entity/Q941136
AC,Epitaciolândia,1200252,http://dbpedia.org/resource/Epitaciolândia,http://pt.dbpedia.org/resource/Epitaciolândia,http://www.wikidata.org/entity/Q1755395
AC,Feijó,1200302,"http://dbpedia.org/resource/Feijó,_Acre",http://pt.dbpedia.org/resource/Feijó_(Acre),http://www.wikidata.org/entity/Q1994833
AC,Jordão,1200328,"http://dbpedia.org/resource/Jordão,_Acre",http://pt.dbpedia.org/resource/Jordão_(Acre),http://www.wikidata.org/entity/Q1800793
AC,Manoel Urbano,1200344,http://dbpedia.org/resource/Manoel_Urbano,http://pt.dbpedia.org/resource/Manoel_Urbano,http://www.wikidata.org/entity/Q1772688
AC,Marechal Thaumaturgo,1200351,http://dbpedia.org/resource/Marechal_Thaumaturgo,http://pt.dbpedia.org/resource/Marechal_Thaumaturgo,http://www.wikidata.org/entity/Q1772613
AC,Mâncio Lima,1200336,http://dbpedia.org/resource/Mâncio_Lima,http://pt.dbpedia.org/resource/Mâncio_Lima,http://www.wikidata.org/entity/Q1772621
AC,Plácido de Castro,1200385,"http://dbpedia.org/resource/Plácido_de_Castro,_Acre",http://pt.dbpedia.org/resource/Plácido_de_Castro_(Acre),http://www.wikidata.org/entity/Q964075
AC,Porto Acre,1200807,http://dbpedia.org/resource/Porto_Acre,http://pt.dbpedia.org/resource/Porto_Acre,http://www.wikidata.org/entity/Q1772602
AC,Porto Walter,1200393,http://dbpedia.org/resource/Porto_Walter,http://pt.dbpedia.org/resource/Porto_Walter,http://www.wikidata.org/entity/Q1772588
AC,Rio Branco,1200401,"http://dbpedia.org/resource/Rio_Branco,_Acre",http://pt.dbpedia.org/resource/Rio_Branco,http://www.wikidata.org/entity/Q171612
AC,Rodrigues Alves,1200427,"http://dbpedia.org/resource/Rodrigues_Alves,_Acre",http://pt.dbpedia.org/resource/Rodrigues_Alves_(Acre),http://www.wikidata.org/entity/Q1800776
AC,Santa Rosa do Purus,1200435,http://dbpedia.org/resource/Santa_Rosa_do_Purus,http://pt.dbpedia.org/resource/Santa_Rosa_do_Purus,http://www.wikidata.org/entity/Q1772719
AC,Sena Madureira,1200500,http://dbpedia.org/resource/Sena_Madureira,http://pt.dbpedia.org/resource/Sena_Madureira,http://www.wikidata.org/entity/Q1754389
AC,Senador Guiomard,1200450,http://dbpedia.org/resource/Senador_Guiomard,http://pt.dbpedia.org/resource/Senador_Guiomard,http://www.wikidata.org/entity/Q771763
AC,Tarauacá,1200609,http://dbpedia.org/resource/Tarauacá,http://pt.dbpedia.org/resource/Tarauacá,http://www.wikidata.org/entity/Q979910
AC,Xapuri,1200708,http://dbpedia.org/resource/Xapuri,http://pt.dbpedia.org/resource/Xapuri,http://www.wikidata.org/entity/Q1012531
AL,Anadia,2700201,"http://dbpedia.org/resource/Anadia,_Alagoas",http://pt.dbpedia.org/resource/Anadia_(Alagoas),http://www.wikidata.org/entity/Q2028005
AL,Arapiraca,2700300,http://dbpedia.org/resource/Arapiraca,http://pt.dbpedia.org/resource/Arapiraca,http://www.wikidata.org/entity/Q626175
AL,Atalaia,2700409,"http://dbpedia.org/resource/Atalaia,_Alagoas",http://pt.dbpedia.org/resource/Atalaia_(Alagoas),http://www.wikidata.org/entity/Q928274
AL,Barra de Santo Antônio,2700508,http://dbpedia.org/resource/Barra_de_Santo_Antônio,http://pt.dbpedia.org/resource/Barra_de_Santo_Antônio,http://www.wikidata.org/entity/Q1795908
AL,Barra de São Miguel,2700607,"http://dbpedia.org/resource/Barra_de_São_Miguel,_Alagoas",http://pt.dbpedia.org/resource/Barra_de_São_Miguel_(Alagoas),http://www.wikidata.org/entity/Q2027348
AL,Batalha,2700706,,http://pt.dbpedia.org/resource/Batalha_(Alagoas),http://www.wikidata.org/entity/Q2028288
AL,Belo Monte,2700904,,http://pt.dbpedia.org/resource/Belo_Monte,http://www.wikidata.org/entity/Q1795566
AL,Belém,2700805,"http://dbpedia.org/resource/Belém,_Alagoas",http://pt.dbpedia.org/resource/Belém_(Alagoas),http://www.wikidata.org/entity/Q2028301
AL,Boca da Mata,2701001,,http://pt.dbpedia.org/resource/Boca_da_Mata,http://www.wikidata.org/entity/Q1772672
AL,Branquinha,2701100,,http://pt.dbpedia.org/resource/Branquinha,http://www.wikidata.org/entity/Q2021035
AL,Cacimbinhas,2701209,,http://pt.dbpedia.org/resource/Cacimbinhas,http://www.wikidata.org/entity/Q1808791
AL,Cajueiro,2701308,,http://pt.dbpedia.org/resource/Cajueiro_(Alagoas),http://www.wikidata.org/entity/Q2019063
AL,Campestre,2701357,"http://dbpedia.org/resource/Campestre,_Alagoas",http://pt.dbpedia.org/resource/Campestre_(Alagoas),http://www.wikidata.org/entity/Q2028637
AL,Campo Alegre,2701407,,http://pt.dbpedia.org/resource/Campo_Alegre_(Alagoas),http://www.wikidata.org/entity/Q2028275
AL,Campo Grande,2701506,"http://dbpedia.org/resource/Campo_Grande,_Alagoas",http://pt.dbpedia.org/resource/Campo_Grande_(Alagoas),http://www.wikidata.org/entity/Q1814259
AL,Canapi,2701605,,http://pt.dbpedia.org/resource/Canapi,http://www.wikidata.org/entity/Q1796020
AL,Capela,2701704,,http://pt.dbpedia.org/resource/Capela_(Alagoas),http://www.wikidata.org/entity/Q1955261
AL,Carneiros,2701803,,http://pt.dbpedia.org/resource/Carneiros,http://www.wikidata.org/entity/Q1808880
AL,Chã Preta,2701902,,http://pt.dbpedia.org/resource/Chã_Preta,http://www.wikidata.org/entity/Q2021044
AL,Coité do Nóia,2702009,http://dbpedia.org/resource/Coité_do_Nóia,,http://www.wikidata.org/entity/Q1816142
AL,Colônia Leopoldina,2702108,,,
AL,Coqueiro Seco,2702207,http://dbpedia.org/resource/Coqueiro_Seco,http://pt.dbpedia.org/resource/Coqueiro_Seco,http://www.wikidata.org/entity/Q1816094
AL,Coruripe,2702306,http://dbpedia.org/resource/Coruripe,http://pt.dbpedia.org/resource/Coruripe,http://www.wikidata.org/entity/Q1796426
AL,Craíbas,2702355,,http://pt.dbpedia.org/resource/Craíbas,http://www.wikidata.org/entity/Q1795950
AL,Delmiro Gouveia,2702405,http://dbpedia.org/resource/Delmiro_Gouveia,http://pt.dbpedia.org/resource/Delmiro_Gouveia,http://www.wikidata.org/entity/Q22024823
AL,Dois Riachos,2702504,http://dbpedia.org/resource/Dois_Riachos,http://pt.dbpedia.org/resource/Dois_Riachos,http://www.wikidata.org/entity/Q22024873
AL,Estrela de Alagoas,2702553,,http://pt.dbpedia.org/resource/Estrela_de_Alagoas,http://www.wikidata.org/entity/Q1795573
AL,Feira Grande,2702603,,http://pt.dbpedia.org/resource/Feira_Grande,http://www.wikidata.org/entity/Q520936
AL,Feliz Deserto,2702702,,http://pt.dbpedia.org/resource/Feliz_Deserto,http://www.wikidata.org/entity/Q649495
AL,Flexeiras,2702801,,http://pt.dbpedia.org/resource/Flexeiras,http://www.wikidata.org/entity/Q1816177
AL,Girau do Ponciano,2702900,,http://pt.dbpedia.org/resource/Girau_do_Ponciano,http://www.wikidata.org/entity/Q768122
AL,Ibateguara,2703007,,http://pt.dbpedia.org/resource/Ibateguara,http://www.wikidata.org/entity/Q2021130
AL,Igaci,2703106,http://dbpedia.org/resource/Igaci,http://pt.dbpedia.org/resource/Igaci,http://www.wikidata.org/entity/Q1808097
AL,Igreja Nova,2703205,,http://pt.dbpedia.org/resource/Igreja_Nova_(Alagoas),http://www.wikidata.org/entity/Q594183
AL,Inhapi,2703304,,http://pt.dbpedia.org/resource/Inhapi,http://www.wikidata.org/entity/Q2021140
AL,Jacaré dos Homens,2703403,,http://pt.dbpedia.org/resource/Jacaré_dos_Homens,http://www.wikidata.org/entity/Q1816248
AL,Jacuípe,2703502,,http://pt.dbpedia.org/resource/Jacuípe,http://www.wikidata.org/entity/Q1808734
AL,Japaratinga,2703601,,http://pt.dbpedia.org/resource/Japaratinga,http://www.wikidata.org/entity/Q1808087
AL,Jaramataia,2703700,,http://pt.dbpedia.org/resource/Jaramataia,http://www.wikidata.org/entity/Q1815918
AL,Jequiá da Praia,2703759,http://dbpedia.org/resource/Jequiá_da_Praia,http://pt.dbpedia.org/resource/Jequiá_da_Praia,http://www.wikidata.org/entity/Q1808524
AL,Joaquim Gomes,2703809,,http://pt.dbpedia.org/resource/Joaquim_Gomes,http://www.wikidata.org/entity/Q2027123
AL,Jundiá,2703908,,http://pt.dbpedia.org/resource/Jundiá_(Alagoas),http://www.wikidata.org/entity/Q2020978
AL,Junqueiro,2704005,,http://pt.dbpedia.org/resource/Junqueiro,http://www.wikidata.org/entity/Q1808328
AL,Lagoa da Canoa,2704104,,http://pt.dbpedia.org/resource/Lagoa_da_Canoa,http://www.wikidata.org/entity/Q1795976
AL,Limoeiro de Anadia,2704203,,http://pt.dbpedia.org/resource/Limoeiro_de_Anadia,http://www.wikidata.org/entity/Q961349
AL,Maceió,2704302,http://dbpedia.org/resource/Maceió,http://pt.dbpedia.org/resource/Maceió,http://www.wikidata.org/entity/Q168888
AL,Major Isidoro,2704401,,http://pt.dbpedia.org/resource/Major_Isidoro,http://www.wikidata.org/entity/Q1808271
AL,Mar Vermelho,2704906,"http://dbpedia.org/resource/Mar_Vermelho,_Alagoas",http://pt.dbpedia.org/resource/Mar_Vermelho_(Alagoas),http://www.wikidata.org/entity/Q2028214
AL,Maragogi,2704500,http://dbpedia.org/resource/Maragogi,http://pt.dbpedia.org/resource/Maragogi,http://www.wikidata.org/entity/Q971736
AL,Maravilha,2704609,,http://pt.dbpedia.org/resource/Maravilha_(Alagoas),http://www.wikidata.org/entity/Q1814508
AL,Marechal Deodoro,2704708,,http://pt.dbpedia.org/resource/Marechal_Deodoro_(Alagoas),http://www.wikidata.org/entity/Q985275
AL,Maribondo,2704807,,http://pt.dbpedia.org/resource/Maribondo,http://www.wikidata.org/entity/Q2021217
AL,Mata Grande,2705002,,http://pt.dbpedia.org/resource/Mata_Grande,http://www.wikidata.org/entity/Q2027641
AL,Matriz de Camaragibe,2705101,,http://pt.dbpedia.org/resource/Matriz_de_Camaragibe,http://www.wikidata.org/entity/Q2013614
AL,Messias,2705200,"http://dbpedia.org/resource/Messias,_Alagoas",http://pt.dbpedia.org/resource/Messias_(Alagoas),http://www.wikidata.org/entity/Q2028160
AL,Minador do Negrão,2705309,,http://pt.dbpedia.org/resource/Minador_do_Negrão,http://www.wikidata.org/entity/Q767029
AL,Monteirópolis,2705408,,http://pt.dbpedia.org/resource/Monteirópolis,http://www.wikidata.org/entity/Q2013634
AL,Murici,2705507,http://dbpedia.org/resource/Murici,http://pt.dbpedia.org/resource/Murici_(Alagoas),http://www.wikidata.org/entity/Q1795628
AL,Novo Lino,2705606,,http://pt.dbpedia.org/resource/Novo_Lino,http://www.wikidata.org/entity/Q1816167
AL,Olho d'Água Grande,2705903,,http://pt.dbpedia.org/resource/Olho_d'Água_Grande,http://www.wikidata.org/entity/Q1795548
AL,Olho d'Água das Flores,2705705,,http://pt.dbpedia.org/resource/Olho_d'Água_das_Flores,http://www.wikidata.org/entity/Q1815966
AL,Olho d'Água do Casado,2705804,http://dbpedia.org/resource/Olho_d'Água_do_Casado,http://pt.dbpedia.org/resource/Olho_d'Água_do_Casado,http://www.wikidata.org/entity/Q1808294
AL,Olivença,2706000,,http://pt.dbpedia.org/resource/Olivença_(Alagoas),http://www.wikidata.org/entity/Q950712
AL,Ouro Branco,2706109,,http://pt.dbpedia.org/resource/Ouro_Branco_(Alagoas),http://www.wikidata.org/entity/Q2355814
AL,Palestina,2706208,,http://pt.dbpedia.org/resource/Palestina_(Alagoas),http://www.wikidata.org/entity/Q511396
AL,Palmeira dos Índios,2706307,,http://pt.dbpedia.org/resource/Palmeira_dos_Índios,http://www.wikidata.org/entity/Q948268
AL,Pariconha,2706422,,http://pt.dbpedia.org/resource/Pariconha,http://www.wikidata.org/entity/Q1795935
AL,Paripueira,2706448,http://dbpedia.org/resource/Paripueira,http://pt.dbpedia.org/resource/Paripueira,http://www.wikidata.org/entity/Q1795979
AL,Passo de Camaragibe,2706505,,http://pt.dbpedia.org/resource/Passo_de_Camaragibe,http://www.wikidata.org/entity/Q1772652
