name,uf,code,link_type,link
Ouvidor,GO,5215504,link,http://www.ouvidor.go.gov.br
Aparecida de Goiânia,GO,5201405,link,
Aruanã,GO,5202502,link,
Anhanguera,GO,5201207,link,http://www.anhg.com.br/
Araguapaz,GO,5202155,link,https://www.google.com.br/search?q=bandeira+de+araguapaz&es_sm=122&tbm=isch&imgil=hXi1aCMJF9gFwM%253A%253Bhttps%253A%252F%252Fencrypted-tbn1.gstatic.com%252Fimages%253Fq%253Dtbn%253AANd9GcRBpFsor-LDqk7f9lK3f_nPsangW2d8QYnw1GuVjHlh8kVZcLG0Zw%253B200%253B135%253BGOnNGCeelqxlwM%253Bhttp%25253A%25252F%25252Fsimbolosmunicipais.blogspot.com%25252F2012%25252F01%25252Fgoias.html&source=iu&usg=___WW-7VwEP3ZZNwxrt8Q7QBh1jdc%3D&sa=X&ei=mblWU8StFaGh8AGbpYD4Bg&ved=0CFAQ9QEwBA#facrc=_&imgdii=_&imgrc=B5Zp9nm_TG9asM%253A%3BJCum7URI3zYYuM%3Bhttp%253A%252F%252F4.bp.blogspot.com%252F-VbGWs2GjUfQ%252FTd-vKapILHI%252FAAAAAAAAAEk%252FgT8a6xX9c9s%252Fs1600%252FAraguapaz%252BFlag.bmp%3Bhttp%253A%252F%252Fprojetogoias.blogspot.com%252F2011%252F04%252Faraguapaz.html%3B324%3B218
Avelinópolis,GO,5202809,link,https://commons.wikimedia.org/wiki/File:Avelin%C3%B3polis_Seal.JPG
Abadia de Goiás,GO,5200050,link,
Abadiânia,GO,5200100,link,
Alexânia,GO,5200308,link,
Alto Paraíso de Goiás,GO,5200605,link,
Alvorada do Norte,GO,5200803,link,
Anápolis,GO,5201108,link,
Acreúna,GO,5200134,link,
Adelândia,GO,5200159,link,
Aloândia,GO,5200506,link,
Alto Horizonte,GO,5200555,link,
Amaralina,GO,5200829,link,
Americano do Brasil,GO,5200852,link,
Amorinópolis,GO,5200902,link,
Aparecida do Rio Doce,GO,5201454,link,
Aporé,GO,5201504,link,
Aragarças,GO,5201702,link,
Aragoiânia,GO,5201801,link,
Araçu,GO,5201603,link,
Arenópolis,GO,5202353,link,
Aurilândia,GO,5202601,link,
Baliza,GO,5203104,link,
Caiapônia,GO,5204409,link,http://www.prefeituracaiaponia.com/imagem/bandeira.bmp
Caiapônia,GO,5204409,link,http://www.prefeituracaiaponia.com/imagem/brasao.bmp
Caldas Novas,GO,5204508,link,
Cocalzinho de Goiás,GO,5205513,link,
Campestre de Goiás,GO,5204607,link,
Barro Alto,GO,5203203,link,https://pt.wikisource.org/w/index.php?title=Hino_do_munic%C3%ADpio_de_Barro_Alto&action=edit&redlink=1
Campo Alegre de Goiás,GO,5204805,link,http://www.campoalegre.go.gov.br/
Catalão,GO,5205109,link,http://www.catalao.go.gov.br
Cidade Ocidental,GO,5205497,link,http://www.cidadeocidental.go.gov.br
Cumari,GO,5206602,link,http://www.prefeituracumari.blogspot.com.br
Bom Jardim de Goiás,GO,5203401,link,
Cachoeira Dourada,GO,5204250,link,
Campinorte,GO,5204706,link,
Caçu,GO,5204300,link,
Corumbá de Goiás,GO,5205802,link,
Cristalina,GO,5206206,link,
Cristianópolis,GO,5206305,link,
Crixás,GO,5206404,link,
Bela Vista de Goiás,GO,5203302,link,
Bom Jesus de Goiás,GO,5203500,link,
Bonfinópolis,GO,5203559,link,
Bonópolis,GO,5203575,link,
Brazabrantes,GO,5203609,link,
Britânia,GO,5203807,link,
Buriti Alegre,GO,5203906,link,
Buriti de Goiás,GO,5203939,link,
Buritinópolis,GO,5203962,link,
Cabeceiras,GO,5204003,link,
Cachoeira Alta,GO,5204102,link,
Cachoeira de Goiás,GO,5204201,link,
Caldazinha,GO,5204557,link,
Campinaçu,GO,5204656,link,
Campo Limpo de Goiás,GO,5204854,link,
Campos Belos,GO,5204904,link,
Campos Verdes,GO,5204953,link,
Carmo do Rio Verde,GO,5205000,link,
Castelândia,GO,5205059,link,
Caturaí,GO,5205208,link,
Cavalcante,GO,5205307,link,
Ceres,GO,5205406,link,
Cezarina,GO,5205455,link,
Chapadão do Céu,GO,5205471,link,
Colinas do Sul,GO,5205521,link,
Corumbaíba,GO,5205901,link,
Cromínia,GO,5206503,link,
Damolândia,GO,5206800,link,
Goiânia,GO,5208707,link,
Edéia,GO,5207402,link,
Guarani de Goiás,GO,5209408,link,http://projetogoias.blogspot.com.br/2011/04/guarani-de-goias.html
Gameleira de Goiás,GO,5208152,link,
Goianira,GO,5208806,link,
Davinópolis,GO,5206909,link,http://www.davinopolis.go.gov.br
Goiandira,GO,5208509,link,http://www.goiandira.go.gov.br
Ipameri,GO,5210109,link,http://www.ipameri.go.gov.br/
Itaberaí,GO,5210406,link,http://www.itaberai.go.gov.br/
Córrego do Ouro,GO,5205703,link,
Estrela do Norte,GO,5207501,link,
Formosa,GO,5208004,link,
Goianápolis,GO,5208400,link,
Gouvelândia,GO,5209150,link,
Iaciara,GO,5209903,link,
Inaciolândia,GO,5209937,link,
Inhumas,GO,5210000,link,
Iporá,GO,5210208,link,
Itapuranga,GO,5211206,link,
Itumbiara,GO,5211503,link,
Damianópolis,GO,5206701,link,
Diorama,GO,5207105,link,
Divinópolis de Goiás,GO,5208301,link,
Doverlândia,GO,5207253,link,
Edealina,GO,5207352,link,
Faina,GO,5207535,link,
Fazenda Nova,GO,5207600,link,
Firminópolis,GO,5207808,link,
Flores de Goiás,GO,5207907,link,
Goianésia,GO,5208608,link,
Goiatuba,GO,5209101,link,
Goiás,GO,5208905,link,
Guapó,GO,5209200,link,
Guaraíta,GO,5209291,link,
Guarinos,GO,5209457,link,
Heitoraí,GO,5209606,link,
Hidrolina,GO,5209804,link,
Hidrolândia,GO,5209705,link,
Indiara,GO,5209952,link,
Ipiranga de Goiás,GO,5210158,link,
Israelândia,GO,5210307,link,
Itaguari,GO,5210562,link,
Itaguaru,GO,5210604,link,
Itajá,GO,5210802,link,
Itapaci,GO,5210901,link,
Itapirapuã,GO,5211008,link,
Itarumã,GO,5211305,link,
Itauçu,GO,5211404,link,
Ivolândia,GO,5211602,link,
Jandaia,GO,5211701,link,
Nova Crixás,GO,5214838,link,https://commons.wikimedia.org/wiki/
Jataí,GO,5211909,link,
Morrinhos,GO,5213806,link,
Mundo Novo,GO,5214051,link,
Jaraguá,GO,5211800,link,http://www.jaragua.go.gov.br
Jussara,GO,5212204,link,http://www.jussara.go.gov.br/portal1/municipio/hino_brasao.asp?iIdMun=100152130
Mambaí,GO,5212709,link,http://www.mambai.go.gov.br
Montividiu do Norte,GO,5213772,link,http://www.montividiudonorte.go.gov.br
Nazário,GO,5214408,link,http://www.google.com.br/imgres?imgurl=http%3A%2F%2Fwww.mbi.com.br%2Fmbi%2Ffiles%2Fmedia%2Fimage%2Fbrasil-municipio%2Fgo-nazario-bandeira.jpg&imgrefurl=http%3A%2F%2Fwww.mbi.com.br%2Fmbi%2Fbiblioteca%2Futilidades%2Fdddprefix64365%2F&h=135&w=200&tbnid=5_-ONvrD6bh7sM%3A&zoom=1&docid=kNq5dLRcBD-YzM&ei=-NM-VKXtF4TMggT90ILIDQ&tbm=isch&ved=0CDEQMygpMCk4ZA&iact=rc&uact=3&dur=2470&page=6&start=133&ndsp=30
Nerópolis,GO,5214507,link,http://projetogoias.blogspot.com.br/2011/04/neropolis.html
Nova Aurora,GO,5214804,link,http://www.novaaurora.go.gov.br
Jaupaci,GO,5212006,link,
Jesúpolis,GO,5212055,link,
Luziânia,GO,5212501,link,
Mimoso de Goiás,GO,5213053,link,
Mineiros,GO,5213103,link,
Montividiu,GO,5213756,link,
Mutunópolis,GO,5214101,link,
Niquelândia,GO,5214606,link,
Nova América,GO,5214705,link,
Novo Gama,GO,5215231,link,
Padre Bernardo,GO,5215603,link,
Joviânia,GO,5212105,link,
Leopoldo de Bulhões,GO,5212303,link,
Mairipotaba,GO,5212600,link,
Mara Rosa,GO,5212808,link,
Marzagão,GO,5212907,link,
Matrinchã,GO,5212956,link,
Maurilândia,GO,5213004,link,
Moiporá,GO,5213400,link,
Monte Alegre de Goiás,GO,5213509,link,
Montes Claros de Goiás,GO,5213707,link,
Morro Agudo de Goiás,GO,5213855,link,
Mossâmedes,GO,5213905,link,
Mozarlândia,GO,5214002,link,
Nova Glória,GO,5214861,link,
Nova Iguaçu de Goiás,GO,5214879,link,
Nova Roma,GO,5214903,link,
Nova Veneza,GO,5215009,link,
Novo Brasil,GO,5215207,link,
Novo Planalto,GO,5215256,link,
Orizona,GO,5215306,link,
Ouro Verde de Goiás,GO,5215405,link,
Palestina de Goiás,GO,5215652,link,
Pontalina,GO,5217708,link,
Rio Verde,GO,5218805,link,http://www.rioverde.go.gov.br
Santa Bárbara de Goiás,GO,5219100,link,https://lh3.googleusercontent.com/-RHGQWGA8UVs/Vg61zZ64tsI/AAAAAAAAAZE/9QpG96QswHQ/h120/Santa%252BB%25C3%25A1rbara%252Bde%252BGoi%25C3%25A1s%252BFlag.PNG
Paranaiguara,GO,5216304,link,
Santa Isabel,GO,5219357,link,
Santa Tereza de Goiás,GO,5219605,link,
Palminópolis,GO,5215900,link,http://www.palminopolis.go.gov.br
Paraúna,GO,5216403,link,http://www.parauna.go.gov.br
Perolândia,GO,5216452,link,http://portal.cnm.org.br/sites/7100/7179/bandeiras/sp/bandeira/bandeira_perolandia.gif
Portelândia,GO,5218102,link,http://www.portelandia.go.gov.br/
Santa Cruz de Goiás,GO,5219209,link,http://www.santacruzdegoias.net/
Palmeiras de Goiás,GO,5215702,link,
Piracanjuba,GO,5217104,link,
Pirenópolis,GO,5217302,link,
Pires do Rio,GO,5217401,link,
Planaltina,GO,5217609,link,
Porangatu,GO,5218003,link,
Posse,GO,5218300,link,
Rialma,GO,5218607,link,
Rio Quente,GO,5218789,link,
Rubiataba,GO,5218904,link,
Sanclerlândia,GO,5219001,link,
Santa Helena de Goiás,GO,5219308,link,
Palmelo,GO,5215801,link,
Panamá,GO,5216007,link,
Petrolina de Goiás,GO,5216809,link,
Pilar de Goiás,GO,5216908,link,
Piranhas,GO,5217203,link,
Porteirão,GO,5218052,link,
Professor Jamil,GO,5218391,link,
Quirinópolis,GO,5218508,link,
Rianápolis,GO,5218706,link,
Santa Fé de Goiás,GO,5219258,link,
Santa Rita do Novo Destino,GO,5219456,link,
Santa Rosa de Goiás,GO,5219506,link,
Santa Terezinha de Goiás,GO,5219704,link,
Teresina de Goiás,GO,5221080,link,
Santo Antônio de Goiás,GO,5219738,link,http://www.santoantoniodegoias.go.gov.br/
Silvânia,GO,5220603,link,http://www.silvania.go.gov.br
São Luiz do Norte,GO,5220157,link,http://www.saoluizdonorte.go.gov.br
São Luís de Montes Belos,GO,5220108,link,http://www.saoluisdemontesbelos.go.gov.br/
Três Ranchos,GO,5221304,link,http://www.tresranchos.go.gov.br
Serranópolis,GO,5220504,link,http://www.serranopolisvip.com.br
Santo Antônio do Descoberto,GO,5219753,link,
Senador Canedo,GO,5220454,link,
São Francisco de Goiás,GO,5219902,link,
São João d'Aliança,GO,5220009,link,
São João da Paraúna,GO,5220058,link,
São Simão,GO,5220405,link,
Sítio d'Abadia,GO,5220702,link,
Taquaral de Goiás,GO,5221007,link,
Trindade,GO,5221403,link,
Uruaçu,GO,5221601,link,
Vila Boa,GO,5222203,link,
Santo Antônio da Barra,GO,5219712,link,
Simolândia,GO,5220686,link,
São Domingos,GO,5219803,link,
São Miguel do Araguaia,GO,5220207,link,
São Patrício,GO,5220280,link,
Terezópolis de Goiás,GO,5221197,link,
Turvelândia,GO,5221551,link,
Turvânia,GO,5221502,link,
Uirapuru,GO,5221577,link,
Uruana,GO,5221700,link,
Urutaí,GO,5221809,link,
Valparaíso de Goiás,GO,5221858,link,
Varjão,GO,5221908,link,
Vianópolis,GO,5222005,link,
Vicentinópolis,GO,5222054,link,
Vila Propício,GO,5222302,link,
Água Fria de Goiás,GO,5200175,link,
Águas Lindas de Goiás,GO,5200258,link,
Água Limpa,GO,5200209,link,
Lagoa Santa,GO,5212253,link,
Formoso,GO,5208103,link,
David Canabarro,RS,4306304,link,
Alto Alegre,RS,4300554,link,
Almirante Tamandaré do Sul,RS,4300471,link,
Ametista do Sul,RS,4300646,link,
Barracão,RS,4301800,link,
Arambaré,RS,4300851,link,http://www.portalarambare.com/
Arroio dos Ratos,RS,4301107,link,http://www.arroiodosratos.rs.gov.br/
Augusto Pestana,RS,4301503,link,http://www.pmaugustopestana.com.br
Barra do Guarita,RS,4301859,link,http://www.barradoguarita.rs.cnm.org.br
Barra do Rio Azul,RS,4301925,link,http://www.barradorioazul-rs.com.br/
Aceguá,RS,4300034,link,
Agudo,RS,4300109,link,
Alecrim,RS,4300307,link,
Alegrete,RS,4300406,link,
Alpestre,RS,4300505,link,
Alto Feliz,RS,4300570,link,
Alvorada,RS,4300604,link,
Amaral Ferrador,RS,4300638,link,
Arroio Grande,RS,4301305,link,
Arroio do Meio,RS,4301008,link,
Arroio do Sal,RS,4301057,link,
Bagé,RS,4301602,link,
Balneário Pinhal,RS,4301636,link,
Barra Funda,RS,4301958,link,
Barra do Ribeiro,RS,4301909,link,
Ajuricaba,RS,4300208,link,
André da Rocha,RS,4300661,link,
Anta Gorda,RS,4300703,link,
Antônio Prado,RS,4300802,link,
Araricá,RS,4300877,link,
Aratiba,RS,4300901,link,
Arroio do Padre,RS,4301073,link,
Arroio do Tigre,RS,4301206,link,
Barra do Quaraí,RS,4301875,link,
Bento Gonçalves,RS,4302105,link,
Cachoeirinha,RS,4303103,link,
Cerro Grande do Sul,RS,4305173,link,
Bom Princípio,RS,4302352,link,http://www.bomprincipio.rs.gov.br/
Caseiros,RS,4304952,link,http://www.caseiros.rs.gov.br/portal1/municipio/hino_brasao.asp?iIdMun=100143085
Caseiros,RS,4304952,link,http://www.caseiros.rs.gov.br/portal1/municipio/hino_brasao.asp?iIdMun=100143085#
Cruz Alta,RS,4306106,link,http://www.cruzalta.rs.gov.br/
Candelária,RS,4304200,link,http://www.candelaria-rs.com.br/arquivos/downloads/brasao.bmp
Casca,RS,4304903,link,http://www.pmcasca.com.br
Cristal,RS,4306056,link,http://www.cristal.famurs.com.br/simbolos.htm
Barão,RS,4301651,link,
Boa Vista das Missões,RS,4302154,link,
Boa Vista do Cadeado,RS,4302220,link,
Boa Vista do Incra,RS,4302238,link,
Bom Jesus,RS,4302303,link,
Brochier,RS,4302659,link,
Cacequi,RS,4302907,link,
Cachoeira do Sul,RS,4303004,link,
Caibaté,RS,4303301,link,
Camaquã,RS,4303509,link,
Cambará do Sul,RS,4303608,link,
Campestre da Serra,RS,4303673,link,
Campina das Missões,RS,4303707,link,
Campo Bom,RS,4303905,link,
Candiota,RS,4304358,link,
Canela,RS,4304408,link,
Capela de Santana,RS,4304689,link,
Capão Bonito do Sul,RS,4304622,link,
Capão da Canoa,RS,4304630,link,
Carazinho,RS,4304705,link,
Caraá,RS,4304713,link,
Carlos Barbosa,RS,4304804,link,
Caxias do Sul,RS,4305108,link,
Caçapava do Sul,RS,4302808,link,
Cerro Grande,RS,4305157,link,
Charqueadas,RS,4305355,link,
Chuí,RS,4305439,link,
Cidreira,RS,4305454,link,
Colorado,RS,4305603,link,
Condor,RS,4305702,link,
Coronel Barros,RS,4305871,link,
Coronel Bicaco,RS,4305900,link,
Coronel Pilar,RS,4305934,link,
Coxilha,RS,4305975,link,
Cristal do Sul,RS,4306072,link,
Barros Cassal,RS,4302006,link,
Barão de Cotegipe,RS,4301701,link,
Barão do Triunfo,RS,4301750,link,
Benjamin Constant do Sul,RS,4302055,link,
Boa Vista do Buricá,RS,4302204,link,
Boa Vista do Sul,RS,4302253,link,
Bom Progresso,RS,4302378,link,
Bom Retiro do Sul,RS,4302402,link,
Boqueirão do Leão,RS,4302451,link,
Bossoroca,RS,4302501,link,
Bozano,RS,4302584,link,
Braga,RS,4302600,link,
Butiá,RS,4302709,link,
Cacique Doble,RS,4303202,link,
Caiçara,RS,4303400,link,
Camargo,RS,4303558,link,
Campinas do Sul,RS,4303806,link,
Campo Novo,RS,4304002,link,
Campos Borges,RS,4304101,link,
Canguçu,RS,4304507,link,
Canoas,RS,4304606,link,
Canudos do Vale,RS,4304614,link,
Capitão,RS,4304697,link,
Capivari do Sul,RS,4304671,link,
Capão do Cipó,RS,4304655,link,
Capão do Leão,RS,4304663,link,
Carlos Gomes,RS,4304853,link,
Catuípe,RS,4305009,link,
Centenário,RS,4305116,link,
Cerrito,RS,4305124,link,
Cerro Branco,RS,4305132,link,
Cerro Largo,RS,4305207,link,
Chapada,RS,4305306,link,
Charrua,RS,4305371,link,
Chiapetta,RS,4305405,link,
Chuvisca,RS,4305447,link,
Ciríaco,RS,4305504,link,
Colinas,RS,4305587,link,
Constantina,RS,4305801,link,
Coqueiro Baixo,RS,4305835,link,
Coqueiros do Sul,RS,4305850,link,
Cotiporã,RS,4305959,link,
Crissiumal,RS,4306007,link,
Cruzaltense,RS,4306130,link,
Cruzeiro do Sul,RS,4306205,link,
Cândido Godói,RS,4304309,link,
Encruzilhada do Sul,RS,4306908,link,
Farroupilha,RS,4307906,link,
Dezesseis de Novembro,RS,4306353,link,
Giruá,RS,4309001,link,
Fagundes Varela,RS,4307864,link,
Eldorado do Sul,RS,4306767,link,http://www.eldorado.rs.gov.br
Entre-Ijuís,RS,4306932,link,http://www.entreijuis.rs.gov.br
Horizontina,RS,4309605,link,http://www.pmhorizontina.rs.gov.br/
Itapuca,RS,4310579,link,http://www.itapuca.rs.gov.br/portal1/demografia/mu_demografia.asp?iIdMun=100143200
Encantado,RS,4306809,link,http://www.encantado-rs.com.br/jingle/
Ipê,RS,4310439,link,http://www.ipe-rs.com.br
Derrubadas,RS,4306320,link,
Dilermando de Aguiar,RS,4306379,link,
Dois Irmãos,RS,4306403,link,
Dom Feliciano,RS,4306502,link,
Dom Pedrito,RS,4306601,link,
Dom Pedro de Alcântara,RS,4306551,link,
Doutor Ricardo,RS,4306759,link,
Erebango,RS,4306973,link,
Erechim,RS,4307005,link,
Esmeralda,RS,4307401,link,
Espumoso,RS,4307500,link,
Esteio,RS,4307708,link,
Estrela Velha,RS,4307815,link,
Estância Velha,RS,4307609,link,
Feliz,RS,4308102,link,
Flores da Cunha,RS,4308201,link,
Formigueiro,RS,4308409,link,
Fortaleza dos Valos,RS,4308458,link,
Frederico Westphalen,RS,4308508,link,
Garruchos,RS,4308656,link,
Gaurama,RS,4308706,link,
Glorinha,RS,4309050,link,
Gramado,RS,4309100,link,
Gramado Xavier,RS,4309159,link,
Gravataí,RS,4309209,link,
Guaporé,RS,4309407,link,
Guaíba,RS,4309308,link,
Harmonia,RS,4309555,link,
Herval,RS,4307104,link,
Herveiras,RS,4309571,link,
Hulha Negra,RS,4309654,link,
Ibirubá,RS,4310009,link,
Igrejinha,RS,4310108,link,
Ijuí,RS,4310207,link,
Imbé,RS,4310330,link,
Iraí,RS,4310504,link,
Itaara,RS,4310538,link,
